county,2014_score,2014_rate,2015_score,2015_rate,2016_score,2016_rate,2017_score,2017_rate,2018_score,2018_rate,2019_score,2019_rate,2020_score,2020_rate,2021_score,2021_rate,2022_score,2022_rate,2023_score,2023_rate
20003,23.43,Minor,7.05,Minor,3.87,Minor,15.16,Minor,10.85,Minor,24.39,Minor,37.72,Minor,20.88,Minor,50.3,Minor,17.29,Minor
20005,28.76,Minor,40.21,Minor,9,Minor,15.68,Minor,25.71,Minor,48.94,Minor,35.84,Minor,53.28,Minor,25.02,Minor,0.96,Minor
20007,9.76,Minor,21.61,Minor,4.6,Minor,3.67,Minor,2.95,Minor,23.73,Minor,19.36,Minor,14.53,Minor,13.17,Minor,17.29,Minor
20009,51.09,Minor,17.41,Minor,49.4,Minor,71.87,Moderate,57.35,Minor,26.08,Minor,44.9,Minor,29.05,Minor,28.49,Minor,17.29,Minor
20011,47.88,Minor,35.08,Minor,55.06,Minor,32.69,Minor,8.87,Minor,19.23,Minor,26.57,Minor,55.29,Minor,55.69,Minor,43.91,Minor
20013,47.82,Minor,58.87,Minor,3.57,Minor,9.79,Minor,11.88,Minor,28.29,Minor,28.13,Minor,11.78,Minor,49.11,Minor,33.7,Minor
20015,73.03,Moderate,54.14,Minor,39.44,Minor,19.03,Minor,7.18,Minor,54.53,Minor,60.99,Minor,28.39,Minor,51.79,Minor,1.49,Minor
20017,47.15,Minor,6.59,Minor,17.17,Minor,35.01,Minor,13.8,Minor,95.43,Moderate,14.63,Minor,19.85,Minor,34.51,Minor,2.45,Minor
20019,9.76,Minor,3.11,Minor,2,Minor,1.72,Minor,0.6,Minor,41.1,Minor,6.88,Minor,5.51,Minor,13.17,Minor,17.29,Minor
20021,28.16,Minor,52.95,Minor,22.83,Minor,21.51,Minor,20.65,Minor,70.81,Moderate,52.51,Minor,17.77,Minor,44.87,Minor,17.29,Minor
20023,21.08,Minor,75.55,Minor,51.65,Minor,93.02,Moderate,24.65,Minor,17.9,Minor,42.65,Minor,9.88,Minor,0.76,Minor,17.29,Minor
20027,20.55,Minor,23.36,Minor,8.9,Minor,11.78,Minor,4.2,Minor,36.57,Minor,46.79,Minor,40.73,Minor,53.31,Minor,1.36,Minor
20029,19.49,Minor,21.11,Minor,22.1,Minor,32.06,Minor,8.24,Minor,8.9,Minor,34.68,Minor,10.99,Minor,0.43,Minor,17.29,Minor
20031,27.86,Minor,12.97,Minor,25.08,Minor,11.48,Minor,6.78,Minor,24.92,Minor,2.05,Minor,22.1,Minor,33.52,Minor,33.7,Minor
20035,44.87,Minor,19.66,Minor,5.82,Minor,11.98,Minor,35.08,Minor,23.96,Minor,41.56,Minor,32.2,Minor,53.9,Minor,52.28,Minor
20037,39.74,Minor,40.87,Minor,8.37,Minor,20.78,Minor,37.33,Minor,17.94,Minor,45.17,Minor,18.93,Minor,51.49,Minor,39.74,Minor
20039,30.21,Minor,89.48,Moderate,25.51,Minor,64.82,Minor,78.69,Moderate,60.03,Minor,87.33,Moderate,21.64,Minor,1.09,Minor,17.29,Minor
20041,50.2,Minor,36.43,Minor,19.16,Minor,14.3,Minor,67.54,Moderate,53.71,Minor,60.56,Minor,23.06,Minor,56.32,Minor,34.86,Minor
20043,26.7,Minor,50.96,Minor,3.74,Minor,25.55,Minor,22.17,Minor,85.34,Moderate,1.16,Minor,40.11,Minor,34.05,Minor,17.29,Minor
20045,54.1,Minor,79.81,Moderate,40.57,Minor,62.67,Minor,37.49,Minor,50.4,Minor,63.73,Moderate,77.76,Moderate,60.49,Moderate,40.54,Minor
